index,SMILE,fr_methoxy,EState_VSA2,PEOE_VSA1,SMR_VSA6,Chi3n,MinPartialCharge,SlogP_VSA2,MinAbsPartialCharge,Chi4n,Chi4v,GWP
130,C(OC(C(OC(OC(F)F)(F)F)(F)F)(F)F)(F)F,0,0.0,0.0,0.0,1.04921462250389,-0.2507124626503053,31.734839043523564,0.2507124626503053,0.5168928228000327,0.5168928228000327,3.507855872
131,C(OC(F)(F)F)(F)F,0,0.0,0.0,0.0,0.22271770159368703,-0.2283020995216621,12.973863945476484,0.2283020995216621,0.1010152544552211,0.1010152544552211,4.155336037
132,C(OC(F)F)(F)F,0,0.0,0.0,0.0,0.20573779994945596,-0.26041973858131406,13.223010172892202,0.26041973858131406,0.07776157913597392,0.07776157913597392,3.821513528
133,C=C(C(F)(F)F)C(F)(F)F,0,0.0,0.0,0.0,0.6843652176255568,-0.1660982180526413,12.35259703488695,0.1660982180526413,0.16071428571428567,0.16071428571428567,-0.42365865
134,C=C(C(F)(F)F)F,0,0.0,0.0,0.0,0.30758878857717536,-0.20246122055826105,6.176298517443475,0.20246122055826105,0.0,0.0,-0.300162274
135,C=C(F)F,0,0.0,0.0,0.0,0.0,-0.1741045340758478,0.0,0.1741045340758478,0.0,0.0,-1.283996656
136,C=CC(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,0,0.0,0.0,0.0,2.2140319422036505,-0.1947838316472925,35.78894435791636,0.1947838316472925,0.9098462814209476,0.9098462814209476,-0.790484985
137,C=CC(C(C(C(F)(F)F)(F)F)(F)F)(F)F,0,0.0,0.0,0.0,1.4253531834801383,-0.1947809373273808,23.943886021727202,0.1947809373273808,0.5155069020591905,0.5155069020591905,-0.690369833
138,C=CC(C(C(F)(F)F)(F)F)(F)F,0,0.0,0.0,0.0,1.031013804118381,-0.19464000151010688,18.02135685363263,0.19464000151010688,0.31715727727038306,0.31715727727038306,-0.628932138
139,C=CC(C(F)(F)F)(F)F,0,0.0,0.0,0.0,0.6343145545407661,-0.1915196870319064,12.098827685538051,0.1915196870319064,0.11572751247156891,0.11572751247156891,-0.739928612
140,C=CC(F)(F)F,0,6.076020106833881,0.0,0.0,0.23145502494313783,-0.16678618969228537,6.176298517443475,0.16678618969228537,0.0,0.0,-0.583359493
141,C=CCOC(=O)C(F)(F)F,0,0.0,4.736862953800049,6.606881964512918,0.5637338372218113,-0.45481711055845087,18.75248576990824,0.45481711055845087,0.21644463147603135,0.21644463147603135,-2.15490196
142,C=CF,0,6.32978945618278,0.0,0.0,0.0,-0.21619321450998513,0.0,0.07946646029724827,0.0,0.0,-1.619788758
143,C=COC(=O)C(F)(F)F,0,0.0,4.736862953800049,0.0,0.4218264458078189,-0.4284677990075014,12.145603805395325,0.4284677990075014,0.1425026680167614,0.1425026680167614,-2.096910013
144,C=COCC(F)(F)F,0,0.0,4.736862953800049,6.606881964512918,0.36484788120808553,-0.4923497246167155,12.783180481956393,0.4220300247339864,0.15341668335118577,0.15341668335118577,-1.236572006
145,CBr,0,0.0,0.0,5.833005223826043,0.0,-0.09655150767721922,5.833005223826043,0.0084787831631398,0.0,0.0,0.385606274
146,CC(=O)C(F)(F)F,0,0.0,0.0,0.0,0.39920086722848924,-0.28991075148720075,11.959543463808414,0.28991075148720075,0.0,0.0,-1.045757491
147,CC(C(F)(F)F)(F)F,0,6.923737199690624,0.0,0.0,0.49775906904263456,-0.19673174712821836,12.098827685538051,0.19673174712821836,0.0,0.0,3.658011397
